VILLE,LATITUDE,LONGITUDE
"جويزي Djoiezi, Moili Mdjini, موهيلي Mohéli, Comores Komori جزر القمر",-12.3025278,43.7719476
"Dindri ديندري, Nzwani أنجوان, Comores Komori جزر القمر",-12.2145867,44.4527539
"Saloi سالوي, Nzwani أنجوان, Comores Komori جزر القمر",-12.3019109,44.4320437
"Iconi أيقونات, Bambao ya Mboini, Moroni-Bambao, Ngazidja القمر الكبرى, Comores Komori جزر القمر",-11.7451859,43.2377559
"Mbéni مبيني, Nyuma Msiru, Hamahamet-Mboinkou, Ngazidja القمر الكبرى, Comores Komori جزر القمر",-11.5059996,43.3868104
"Salimani Itsandra, Bangaani, Itsandra-Hamanvou, Ngazidja القمر الكبرى, Comores Komori جزر القمر",-11.6827978,43.2748217
"Dar-Salama دار السلام, Pimba, Mbadjini-Est, Ngazidja القمر الكبرى, Comores Komori جزر القمر",-11.8734286,43.4748452
"Fomboni, موهيلي Mohéli, Comores Komori جزر القمر",-12.284054,43.742727
"Pomoni بوموني, Nzwani أنجوان, Comores Komori جزر القمر",-12.2836247,44.4101223
"Cembenoi-Sada-Djoumamlima, Mitsamiouli-Mboudé, Ngazidja القمر الكبرى, Comores Komori جزر القمر",-11.4084351,43.3497656
"زيروداني Ziroudani, Djando, موهيلي Mohéli, Comores Komori جزر القمر",-12.3392087,43.7808704
"Ouani أواني, Nzwani أنجوان, Comores Komori جزر القمر",-12.1339888,44.4272275
"Mouamoua مواموا, Nzwani أنجوان, Comores Komori جزر القمر",-12.1832043,44.3780486
"Cratère du Karthala, Ngazidja القمر الكبرى, Comores Komori جزر القمر",-11.7637191,43.3684266
"Mitsamiouli ميتساميولي, Mitsamiouli, Mitsamiouli-Mboudé, Ngazidja القمر الكبرى, Comores Komori جزر القمر",-11.391407,43.2916078
"Dar Salama دار سلامة, Nzwani أنجوان, Comores Komori جزر القمر",-12.2542262,44.3868488
"فومبوني Fomboni, Fomboni, موهيلي Mohéli, Comores Komori جزر القمر",-12.284054,43.742727
